Station_ID,Station_Name,City,Date,PM2.5 (µg/m³),PM10 (µg/m³),NO₂ (µg/m³),SO₂ (µg/m³),CO (mg/m³),O₃ (µg/m³)
AHM01,Chandkheda,Ahmedabad,08-08-2023,34.55,60.56,NaN,4.13,0.4,4.01
AHM01,Chandkheda,Ahmedabad,09-08-2023,35.36,60.52,NaN,3.98,0.33,3.57
AHM01,Chandkheda,Ahmedabad,10-08-2023,33.71,58.09,NaN,4.17,0.34,2.62
AHM01,Chandkheda,Ahmedabad,11-08-2023,29.75,52.04,2.84,3.71,0.41,2.89
AHM01,Chandkheda,Ahmedabad,12-08-2023,33.26,57.49,2.97,4.02,0.08,NaN
AHM01,Chandkheda,Ahmedabad,13-08-2023,27.49,48.65,3,4.13,0.08,NaN
AHM01,Chandkheda,Ahmedabad,14-08-2023,28.7,50.99,3,4.16,0.08,NaN
AHM01,Chandkheda,Ahmedabad,15-08-2023,30.22,54.36,3,4.2,0.08,NaN
AHM01,Chandkheda,Ahmedabad,16-08-2023,37.75,65.46,3.01,4.19,0.05,NaN
AHM01,Chandkheda,Ahmedabad,17-08-2023,44.88,75.59,2.99,4.15,0.03,NaN
AHM01,Chandkheda,Ahmedabad,18-08-2023,47.13,79.23,3,4.09,0.03,NaN
AHM01,Chandkheda,Ahmedabad,19-08-2023,52.26,88.33,2.99,4.15,0.03,NaN
AHM01,Chandkheda,Ahmedabad,20-08-2023,30.5,51.82,3.01,4.07,0.01,NaN
AHM01,Chandkheda,Ahmedabad,21-08-2023,34.16,58.69,3,4.11,0.04,NaN
AHM01,Chandkheda,Ahmedabad,22-08-2023,38.05,66.43,3,4.03,0.02,NaN
AHM01,Chandkheda,Ahmedabad,23-08-2023,30.44,53.8,2.99,4.08,0.02,NaN
AHM01,Chandkheda,Ahmedabad,24-08-2023,27.64,49.88,3,4.1,0.02,NaN
AHM01,Chandkheda,Ahmedabad,25-08-2023,32.11,56.46,3,4.14,0.02,NaN
AHM01,Chandkheda,Ahmedabad,26-08-2023,38.37,66.55,3,4.21,0.02,NaN
AHM01,Chandkheda,Ahmedabad,27-08-2023,48.78,83.7,3.01,4.19,0.01,NaN
AHM01,Chandkheda,Ahmedabad,28-08-2023,38.78,66.94,3.01,4.23,0.01,NaN
AHM01,Chandkheda,Ahmedabad,29-08-2023,34.87,59.5,3,4.67,0,NaN
AHM01,Chandkheda,Ahmedabad,30-08-2023,44.25,73.6,3,5.28,0,NaN
